date,exposure,rank,hot,search,new_user
2020/1/1,150538,13,8370,16358,2373
2020/1/2,198625,15,8561,21785,3201
2020/1/3,189144,17,8464,18835,3013
2020/1/4,157297,17,8352,15922,2724
2020/1/5,143070,18,8370,16358,2473
2020/1/6,120847,19,8367,16285,2166
2020/1/7,164539,15,8342,15685,2637
2020/1/8,178921,14,8391,16881,2882
2020/1/9,159095,14,8409,17343,2880
2020/1/10,167707,15,8418,17579,2604
2020/1/11,140033,16,8364,16211,2473
2020/1/12,108501,16,8350,15875,1993
2020/1/13,89742,13,8316,15085,1879
2020/1/14,116186,14,8296,14639,2069
2020/1/15,150951,13,8294,14595,2416
2020/1/16,177998,11,8417,17553,2889
2020/1/17,169099,13,8398,17060,2810
2020/1/18,157802,14,8362,16163,2688
2020/1/19,136215,13,8405,17240,2399
2020/1/20,106754,13,8405,17240,2038
2020/1/21,147657,13,8405,17240,2158
2020/1/22,135023,11,8424,17738,2449
2020/1/23,170004,11,8456,18610,2931
2020/1/24,162024,11,8499,19850,2756
2020/1/25,149406,11,8497,19791,2547
2020/1/26,117659,11,8483,19380,2304
2020/1/27,119056,11,8363,16187,1913
2020/1/28,94557,12,8419,17606,1898
2020/1/29,99117,13,8349,15851,1748
2020/1/30,96672,15,8269,14058,1577
2020/1/31,86993,13,8266,13995,1476
2020/2/1,106024,11,8278,14249,1590
2020/2/2,82475,10,7939,8569,1472
2020/2/3,99739,10,7939,8569,1483
2020/2/4,93088,11,8194,12562,1531
2020/2/5,114830,12,8178,12264,1658
2020/2/6,135925,12,8184,12375,2050
2020/2/7,152413,9,8494,19702,2783
2020/2/8,154118,10,8379,16580,2732
2020/2/9,152466,11,8414,17474,2677
2020/2/10,122006,12,8432,17952,2363
2020/2/11,119391,12,8332,15452,2065
2020/2/12,144829,12,8409,17343,2255
2020/2/13,114805,11,8445,18306,2274
2020/2/14,142869,11,8448,18388,2207
2020/2/15,112963,10,8417,17553,2082
2020/2/16,108060,10,8381,16630,1854
2020/2/17,87932,13,8346,15780,1592
2020/2/18,108016,12,8280,14292,1749
2020/2/19,107827,12,8277,14228,1993
2020/2/20,126616,8,8278,14249,2110
2020/2/21,111937,9,8332,15452,2012
2020/2/22,107004,9,8330,15405,1898
2020/2/23,98593,10,8318,15131,1736
2020/2/24,107981,11,8317,15108,1482
2020/2/25,90010,13,8265,13974,1523
2020/2/26,126118,12,8252,13704,1825
2020/2/27,126588,9,8247,13602,1867
2020/2/28,113389,9,8260,13870,1729
2020/2/29,101417,11,8189,12469,1588
2020/3/1,89742,14,8165,12028,1540
2020/3/2,101337,13,8138,11550,1423
2020/3/3,105781,14,8160,11938,1590
2020/3/4,127764,11,8202,12714,1748
2020/3/5,132904,11,8224,13141,1955
2020/3/6,90024,9,8281,14314,1816
2020/3/7,102155,9,8299,14705,1719
2020/3/8,103700,9,8252,13704,1664
2020/3/9,81458,10,8226,13180,1470
2020/3/10,94960,13,8201,12695,1605
2020/3/11,84625,13,8179,12283,1531
2020/3/12,106238,12,8176,12228,1565
2020/3/13,121342,11,8191,12506,1814
2020/3/14,101255,11,8228,13220,1763
2020/3/15,89051,10,8198,12638,1653
2020/3/16,103149,11,8198,12638,1501
2020/3/17,127864,12,8198,12638,1717
2020/3/18,123522,12,8198,12638,1892
2020/3/19,96706,12,8246,13582,1753
2020/3/20,100270,13,8205,12771,1666
2020/3/21,104873,13,8211,12887,1590
2020/3/22,115740,13,8160,11938,1573
2020/3/23,94297,13,8079,10572,1387
2020/3/24,106723,13,8073,10477,1533
2020/3/25,119387,13,8085,10667,1748
2020/3/26,110002,14,8116,11175,1647
2020/3/27,84114,13,8074,10493,1544
2020/3/28,101566,15,8057,10229,1436
2020/3/29,88007,16,8062,10306,1335
2020/3/30,83110,18,8011,9547,1210
2020/3/31,73538,17,8018,9647,1354
2020/4/1,92454,15,7982,9140,1537
2020/4/2,88028,16,7966,8924,1476
2020/4/3,106543,14,7913,8242,1419
2020/4/4,101533,14,7889,7950,1407
2020/4/5,72650,16,7889,7950,1318
2020/4/6,54571,16,7879,7832,1121
2020/4/7,77407,17,7869,7715,1254
2020/4/8,94326,16,7924,8379,1387
2020/4/9,105111,16,7795,6905,1487
2020/4/10,67132,16,7758,6532,1358
2020/4/11,86702,16,7764,6591,1255
2020/4/12,61687,16,7745,6406,1124
2020/4/13,72808,15,7745,6406,1208
2020/4/14,104613,14,7772,6670,1455
2020/4/15,95933,14,7802,6977,1476
2020/4/16,81815,14,7796,6915,1324
2020/4/17,66417,15,7783,6781,1252
2020/4/18,53654,15,7783,6781,1172
2020/4/19,52202,15,7783,6781,1083
2020/4/20,71628,17,7783,6781,1007
2020/4/21,65338,17,7741,6367,1149
2020/4/22,75905,15,7800,6956,1193
2020/4/23,74989,15,7837,7354,1193
2020/4/24,55484,14,7881,7855,1126
2020/4/25,47936,18,7919,8316,1003
2020/4/26,75411,17,7911,8217,1027
2020/4/27,57702,15,7898,8058,997
2020/4/28,46240,16,7884,7891,1029
2020/4/29,66999,18,7840,7387,1128
2020/4/30,60481,17,7763,6581,969